sa2_code_2011,sa2_name,Meter count - 2010 (no.),Meter count - 2011 (no.),Meter count - 2012 (no.),Mean - 2010 (kWh),Mean - 2011 (kWh),Mean - 2012 (kWh),Lowest quintile - 2010 (kWh),Lowest quintile - 2011 (kWh),Lowest quintile - 2012 (kWh),Second quintile - 2010 (kWh),Second quintile - 2011 (kWh),Second quintile - 2012 (kWh),Third quintile - 2010 (kWh),Third quintile - 2011 (kWh),Third quintile - 2012 (kWh),Fourth quintile - 2010 (kWh),Fourth quintile - 2011 (kWh),Fourth quintile - 2012 (kWh),Highest quintile - 2010 (kWh),Highest quintile - 2011 (kWh),Highest quintile - 2012 (kWh),Median - 2010 (kWh),Median - 2011 (kWh),Median - 2012 (kWh),Predominant climate zone (d)
206051134,St Kilda East,40,78,103,4294,4544,4528,1172,1165,1151,2053,2190,2155,2741,3122,3167,3977,4503,4923,11527,11440,11019,2700,3145,3138,6
206061135,Armadale,35,53,63,3858,4503,5224,1362,1832,1875,2601,2904,3129,3463,3805,4133,4845,4936,5366,7021,8733,11276,3482,3865,4165,6
206061136,Prahran - Windsor,46,75,91,4705,5217,5485,1310,1705,1710,2578,3016,2813,3880,4312,4231,5165,5977,5920,10005,11076,12369,4044,4390,4308,6
206061137,South Yarra - East,29,41,53,6381,4713,4935,2088,1516,1669,3158,2531,2597,3799,3061,3434,6035,4448,5646,16109,11197,10897,3872,3091,3284,6
206061138,Toorak,28,44,57,9814,8520,10436,1666,1750,1869,3013,3183,3863,5198,5289,7122,10081,9440,10925,26986,22188,27182,5556,5367,7433,6
206071139,Abbotsford,37,51,64,4220,4573,4465,1335,1420,1494,2256,2339,2280,3167,3468,3706,5081,5057,5540,8762,10033,9075,3245,3677,3722,6
206071140,Carlton North - Princes Hill,58,88,102,5085,3929,3561,1583,1466,1282,2784,1960,2063,3765,2926,2729,5731,4617,3940,11160,8485,7630,3820,2957,2702,6
206071141,Collingwood,14,33,37,5033,4038,4266,,1013,949,,2162,1871,,3406,3524,,4851,5331,,8236,9075,4518,3386,3440,6
206071142,Fitzroy,48,72,87,3847,3594,3607,979,1118,1016,1959,1932,1876,2658,2573,2538,4380,3722,3572,8854,8357,8790,2687,2602,2522,6
206071143,Fitzroy North,72,124,158,3499,3872,3757,1203,1227,1135,2022,2228,2180,2699,3240,3102,3712,4551,4567,7620,8008,7697,2744,3326,3199,6
206071144,Richmond (Vic.),113,195,246,3962,4313,4369,1029,1256,1385,2014,2396,2446,3144,3531,3540,4611,5090,4927,8849,9289,9444,3130,3518,3537,6
206071145,Yarra - North,95,152,196,3450,3427,3278,1260,1274,1320,2171,2203,2175,3057,2999,2776,3911,4100,3811,6849,6473,6232,2958,3072,2761,6
207011146,Ashburton (Vic.),79,189,250,4304,4524,4591,1716,1766,1789,2682,2853,2890,3683,3901,3929,4907,5332,5402,8372,8697,8943,3752,3828,3833,6
207011147,Balwyn,107,216,280,5102,5042,5284,1661,1901,1727,2709,3072,2856,3644,3912,3992,5147,5521,5715,12087,10673,12131,3650,3883,3999,6
207011148,Balwyn North,133,253,338,5736,5848,5630,1903,1913,2055,3181,3723,3481,4287,4953,4675,6393,6978,6621,12717,11576,11252,4200,4908,4610,6
207011149,Camberwell,148,251,326,5366,5320,5361,1875,2024,1912,3189,3209,3220,4264,4337,4372,5900,5762,5749,11450,11152,11459,4324,4309,4402,6
207011150,Glen Iris - East,51,152,205,4513,4959,4956,1659,1744,1734,3038,3119,2959,4251,4296,4063,5554,5630,5398,7740,9865,10629,4388,4286,4060,6
207011151,Hawthorn,89,132,179,5284,5550,5824,1670,1619,1538,2867,2825,3023,3903,3887,4234,5682,6103,6020,12095,13088,14183,3897,3848,4182,6
207011152,Hawthorn East,52,92,126,5045,5180,4842,1453,1401,1583,2454,2715,2639,3752,4212,3973,5285,5854,5672,11740,11425,10130,3741,4063,3888,6
207011153,Kew,136,253,342,6840,6635,6348,2000,2047,2054,3205,3469,3506,4620,5019,4983,6468,7054,6922,17512,15462,14178,4620,5130,4971,6
207011154,Kew East,38,95,128,4552,4588,4471,2179,2186,1869,3053,3292,3046,3727,4202,4119,5077,5317,5384,8324,7945,7823,3831,4206,4211,6
207011155,Surrey Hills (West) - Canterbury,109,211,270,5207,5633,5731,1619,1804,1702,3015,3176,3101,4416,4400,4358,6138,6083,5913,10683,12540,13583,4358,4374,4427,6
207021156,Bulleen,37,136,184,6175,5000,4652,2595,2459,2143,4283,3487,3257,5767,4391,4083,6709,5594,5392,10904,8924,8318,6012,4310,4047,6
207021157,Doncaster,62,208,325,5075,4845,4673,2287,1947,2000,3512,3106,3079,4404,4267,4134,5690,5609,5391,9197,9211,8761,4396,4245,4092,6
207021158,Doncaster East,114,339,461,5176,4992,4654,1912,1983,1861,3246,3222,3076,4517,4231,3995,6382,5662,5357,9681,9818,8934,4575,4232,3935,6
207021159,Templestowe,155,289,365,7074,6574,6224,2792,2571,2411,4750,4190,3997,6752,5931,5542,9164,8229,7788,11911,11880,11382,6986,5993,5474,6
207021160,Templestowe Lower,48,143,212,4539,4584,4388,1892,1928,1811,2923,3063,2989,4074,3951,4031,5268,5147,5167,8227,8719,7870,4206,3869,4014,6
207031161,Blackburn,146,306,406,3935,4357,4039,1442,1463,1457,2405,2556,2401,3326,3461,3264,4502,4800,4508,7866,9423,8511,3433,3496,3302,6
